OBJECTID,CITY_NAME,POP_1980,POP_1990,POP_2000,POP_2010,ALLCRASH,FCRASH,MACRASH,MICRASH,POCRASH,PDOCRASH,TPROPDMG,ALLINJS,TFATALITY,TMAJINJ,TMININJ,TPOSSINJ,TUNKINJ,ALCDRUGCR,ALCDRUGFCR,ALCDRUGMCR,ALCDRUGFAT,ALCDRUGMAJ,ALCDRUGINJ,ALCDRUGFI,ALCOCR,ALCOFCR,ALCOMCR,ALCOFAT,ALCOMAJ,ALCOINJ,ALCOFI,MOTOCR,MOTOFCR,MOTOMCR,MOTOFAT,MOTOMAJ,MOTOINJ,MOTOFI,PEDCR,PEDFCR,PEDMCR,PEDFAT,PEDMAJ,PEDINJ,PEDFI,BIKECR,BIKEFCR,BIKEMCR,BIKEFAT,BIKEMAJ,BIKEINJ,BIKEFI,SBUSCR,SBUSFCR,SBUSMCR,SBUSFAT,SBUSMAJ,SBUSINJ,SBUSFI,NBUSCR,NBUSFCR,NBUSMCR,NBUSFAT,NBUSMAJ,NBUSINJ,NBUSFI,TRKCR,TRKFCR,TRKMCR,TRKFAT,TRKMAJ,TRKINJ,TRKFI,HTRKCR,HTRKFCR,HTRKMCR,HTRKFAT,HTRKMAJ,HTRKINJ,HTRKFI,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,CITY_NUMBER,YEAR,REST_UPDATED,REST_UTC_OFFSET,AREA_ACRE,PERIMETER_METER,Shape__Area,Shape__Length
1,Orange City,4588,4940,5582,6004,30,0,1,4,5,20,140191,13,0,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,2,2,2,0,0,0,0,2,2,0,1,1,1,4,5,1,6,3,2,4,2,0,0,0,0,3,5,6,4,5,2,2,3,5732,2001,2019-10-08T09:31:26.062Z,-05:00,2346.44431857256,22980.39279,17764469.421875,31436.2670948233
2,Sioux Center,4588,5074,6002,7048,64,0,1,6,11,46,258361,24,0,1,9,12,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,13,12,0,0,0,0,12,12,1,1,3,6,6,7,5,6,6,9,9,5,0,1,2,1,8,6,9,10,12,6,7,2,7055,2001,2019-10-08T09:31:26.062Z,-05:00,3866.71783859089,21616.04558,29342441.421875,29619.2236904665
3,Little Rock,490,493,489,459,5,0,0,1,0,4,13850,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,2,2,0,0,4427,2001,2019-10-08T09:31:26.062Z,-05:00,645.818181773292,6466.31618,4959911.30078125,8908.0753389031
4,Buck Grove,84,55,49,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935,2001,2019-10-08T09:31:26.062Z,-05:00,233.061547442992,3956.26127,1704593.60546875,5316.71535280379
5,Arion,207,148,136,108,2,0,0,2,0,0,10000,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,215,2001,2019-10-08T09:31:26.062Z,-05:00,317.99792336182,4550.64539,2327975.28515625,6119.81403733775
6,Dunlap,1374,1251,1139,1042,14,0,1,1,1,11,33728,8,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,3,1,0,3,0,1,0,1,1,1,1,2,0,0,0,1,0,2,1,3,2,1,2,2,2142,2001,2019-10-08T09:31:26.062Z,-05:00,742.373793868763,9515.1149,5418389.69921875,12779.9445369295
7,Dow City,616,439,503,510,6,0,0,1,0,5,28405,2,0,0,1,1,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,2,0,1,0,0,1,1,1,1,0,0,0,1,2072,2001,2019-10-08T09:31:26.062Z,-05:00,206.937701469249,4133.56646,1513960.6484375,5559.41203233505
8,Larchwood,701,739,788,866,12,0,0,1,3,8,52300,6,0,0,1,5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,3,1,2,0,0,1,0,0,2,1,0,0,0,2,0,2,2,1,1,2,1,4212,2001,2019-10-08T09:31:26.062Z,-05:00,663.703283511847,7411.22881,5098502.9296875,10209.7618269688
9,Marion,19474,20422,26294,34768,453,0,2,41,66,344,1587944,149,0,2,54,79,14,6,0,0,0,0,6,6,1,0,0,0,0,1,1,3,0,0,0,0,3,3,2,0,0,0,0,2,2,2,0,0,0,0,2,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,12,0,0,0,0,13,13,3,0,0,0,0,3,3,36,38,30,34,48,31,32,38,39,52,43,32,10,3,8,45,32,50,74,55,96,47,18,15,4775,2001,2019-10-08T09:31:26.062Z,-05:00,9185.29131309182,73187.95994,67442092.0820313,98601.5863869256
10,Templeton,319,321,334,362,3,0,0,2,1,0,4000,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,7597,2001,2019-10-08T09:31:26.062Z,-05:00,281.17352402423,4664.8036,2056506.671875,6271.70244392064
